Sr.,Stock Name,Symbol,close,%_change,volume,Add Column
"113","One 97 Communications Ltd","PAYTM","1,029.1","2.3%","32,80,196",""
"114","Coal India Limited","COALINDIA","459.55","2.27%","1,24,03,745",""
"115","Ujjivan Small Finance Bank Ltd","UJJIVANSFB","56.68","2.27%","1,55,52,664",""
"116","Delhivery Ltd","DELHIVERY","435.9","2.26%","33,32,882",""
"117","Netweb Technologies India Ltd","NETWEB","3,225.7","2.24%","6,37,136",""
"118","Uno Minda Ltd","UNOMINDA","1,048.4","2.24%","6,19,772",""
"119","The Federal Bank  Limited","FEDERALBNK","271.5","2.24%","92,97,534",""
"120","Honeywell Automation India Limited","HONAUT","27,485","2.23%","4,654",""
"121","Schneider Electric Infrastructure Limited","SCHNEIDER","926.25","2.23%","2,45,191",""
"122","JSW Cement Ltd","JSWCEMENT","118.51","2.22%","10,82,674",""
"123","Cholamandalam Financial Holdings Ltd","CHOLAHLDNG","1,427.8","2.21%","1,25,154",""
"124","Havells India Limited","HAVELLS","1,206.6","2.2%","6,93,409",""
"125","Ccl Products (india) Limited","CCL","1,116.9","2.19%","4,50,626",""
"126","Fertilizers And Chemicals Travancore Limited","FACT","790.6","2.18%","3,93,375",""
"127","Sundram Fasteners Limited","SUNDRMFAST","766.25","2.18%","99,649",""
"128","Mazagon Dock Shipbuilders Ltd","MAZDOCK","2,313.7","2.17%","21,28,497",""
"129","The Indian Hotels Company Limited","INDHOTEL","595.4","2.17%","30,18,104",""
"130","ICICI Prudential Asset Management Co Ltd","ICICIAMC","2,905.5","2.15%","4,39,271",""
"131","Bajaj Housing Finance Ltd","BAJAJHFL","79.68","2.15%","83,23,966",""
"132","Syngene International Limited","SYNGENE","399.4","2.12%","9,35,572",""
"133","Bajaj Auto Limited","BAJAJ-AUTO","8,942.5","2.1%","3,13,792",""
"134","Vodafone Idea Ltd","IDEA","8.76","2.1%","53,99,38,324",""
"135","Pine Labs Ltd","PINELABS","155.97","2.09%","3,89,818",""
