Sr.,Stock Name,Symbol,close,%_change,volume,Add Column
"216","Tech Mahindra Limited","TECHM","1,449.5","0.56%","14,76,736",""
"217","Coforge (Niit Tech) Ltd","COFORGE","1,220.2","0.56%","29,94,825",""
"218","Poonawalla Fincorp Ltd","POONAWALLA","395.5","0.56%","11,62,773",""
"219","Indian Renewable Energy Development Agency Ltd","IREDA","115.58","0.56%","88,49,494",""
"220","Mrf Limited","MRF","1,27,045","0.52%","7,634",""
"221","Sjvn Limited","SJVN","67.69","0.52%","55,52,166",""
"222","Aurobindo Pharma Limited","AUROPHARMA","1,340.4","0.5%","15,19,668",""
"223","Cesc Limited","CESC","154.01","0.5%","12,58,314",""
"224","Schaeffler India Ltd","SCHAEFFLER","3,782.7","0.49%","68,166",""
"225","Waaree Energies Ltd","WAAREEENER","3,084.7","0.46%","7,05,234",""
"226","Maruti Suzuki India Limited","MARUTI","12,688","0.45%","3,82,650",""
"227","Infosys Limited","INFY","1,306.2","0.42%","1,02,08,682",""
"228","Anthem Biosciences Ltd","ANTHEM","663.45","0.41%","1,17,446",""
"229","Tata Technologies Ltd","TATATECH","543.3","0.41%","6,40,027",""
"230","Kiocl Limited","KIOCL","344","0.38%","2,59,954",""
"231","Oracle Financial Services Software Limited","OFSS","7,017","0.35%","97,867",""
"232","Apollo Tyres Limited","APOLLOTYRE","410.9","0.35%","4,71,337",""
"233","Vedanta Limited","VEDL","690","0.34%","1,30,13,026",""
"234","Rail Vikas Nigam Ltd","RVNL","261.55","0.34%","84,09,559",""
"235","Mahindra & Mahindra Limited","M&M","3,021.6","0.33%","25,54,900",""
"236","Siemens Energy India Ltd","ENRIN","2,620.2","0.31%","2,94,424",""
"237","Emcure Pharmaceuticals Ltd","EMCURE","1,552.2","0.3%","1,96,795",""
"238","Force Motors Ltd","FORCEMOT","21,183","0.27%","1,68,492",""
"239","Lupin Limited","LUPIN","2,279.9","0.24%","7,92,605",""
"240","Zydus Lifesciences Ltd","ZYDUSLIFE","866.3","0.24%","5,19,512",""
"241","Shyam Metalics & Energy Ltd","SHYAMMETL","794.4","0.22%","2,25,185",""
"242","Eternal Ltd","ETERNAL","232.2","0.21%","3,15,90,365",""
"243","Bharat Petroleum Corporation Limited","BPCL","278.7","0.2%","1,19,23,889",""
"244","Garden Reach Shipbuilders & Engineers Ltd","GRSE","2,259.5","0.19%","28,96,110",""
"245","Wockhardt Limited","WOCKPHARMA","1,273.9","0.19%","3,96,216",""
"246","Bharti Airtel Limited","BHARTIARTL","1,792.8","0.17%","81,83,498",""
"247","Indus Towers Ltd (Bharti Infratel)","INDUSTOWER","425.5","0.15%","38,68,647",""
"248","Aia Engineering Limited","AIAENG","3,680.5","0.12%","36,537",""
"249","LTIMindtree Ltd","LTM","4,307.4","0.08%","2,96,412",""
"250","Hcl Technologies Limited","HCLTECH","1,403.3","0.08%","21,34,581",""
"251","Godrej Industries Limited","GODREJIND","842.55","0.08%","1,07,201",""
"252","Sun Pharmaceuticals Industries Limited","SUNPHARMA","1,694.6","0.06%","35,33,715",""
"253","Krishna Institute of Medical Sciences Ltd","KIMS","626.6","0.06%","2,74,583",""
"254","Info Edge (india) Limited","NAUKRI","994.3","0.05%","13,55,458",""
"255","Dr. Reddy's Laboratories Limited","DRREDDY","1,217.8","0.04%","10,99,471",""
"256","Lic Housing Finance Limited","LICHSGFIN","517.55","0.03%","11,02,363",""
"257","Colgate Palmolive (india) Limited","COLPAL","1,829.7","0.01%","3,49,804",""
"258","L&t Technology Services Limited","LTTS","3,346.5","-0.03%","78,445",""
"259","Indian Oil Corporation Limited","IOC","134.05","-0.06%","2,53,56,388",""
"260","Petronet Lng Limited","PETRONET","254.52","-0.07%","23,65,626",""
"261","Exide Industries Limited","EXIDEIND","298.8","-0.15%","12,81,718",""
"262","Tata Capital Ltd","TATACAP","308","-0.18%","17,83,590",""
"263","TVS Holdings Ltd","TVSHLTD","13,952","-0.22%","19,534",""
"264","United Breweries Limited","UBL","1,481.7","-0.23%","98,455",""
"265","Go Digit General Insurance Ltd","GODIGIT","319.95","-0.27%","1,87,974",""
"266","Gujarat Fluorochemicals Ltd","FLUOROCHEM","3,194.1","-0.29%","28,004",""
"267","Tata Power Company Limited","TATAPOWER","383.85","-0.3%","66,91,437",""
"268","Jindal Steel Ltd","JINDALSTEL","1,134","-0.34%","47,16,546",""
"269","Alkem Laboratories Limited","ALKEM","5,236.5","-0.41%","81,489",""
"270","Jb Chemicals & Pharmaceuticals Limited","JBCHEPHARM","1,952","-0.46%","3,84,187",""
"271","360 ONE WAM Ltd","360ONE","929.45","-0.47%","27,43,646",""
"272","SBI Cards & Payment Services Ltd","SBICARD","635.1","-0.49%","19,17,090",""
"273","Tenneco Clean Air India Ltd","TENNIND","528.65","-0.53%","4,94,872",""
"274","Hatsun Agro Product Limited","HATSUN","897.15","-0.54%","20,806",""
"275","Thermax Limited","THERMAX","3,276.6","-0.58%","68,087",""
"276","Divi's Laboratories Limited","DIVISLAB","5,821","-0.61%","3,46,192",""
"277","Jsw Steel Limited","JSWSTEEL","1,133.6","-0.67%","32,13,623",""
"278","Varun Beverages Limited","VBL","401","-0.67%","43,63,829",""
"279","Procter & Gamble Hygiene And Health Care Limited","PGHH","9,691","-0.68%","16,068",""
"280","Timken India Limited","TIMKEN","3,324.8","-0.69%","25,909",""
"281","Asahi India Glass Limited","ASAHIINDIA","815.9","-0.69%","2,86,793",""
"282","Eicher Motors Limited","EICHERMOT","6,596","-0.8%","9,71,230",""
"283","Navin Fluorine International Limited","NAVINFLUOR","5,843","-0.81%","1,33,973",""
"284","Motherson Sumi Wiring India Ltd","MSUMI","36.76","-0.84%","1,96,88,354",""
"285","Dabur India Limited","DABUR","413.7","-0.85%","28,59,076",""
"286","Gillette India Limited","GILLETTE","7,496.5","-0.94%","26,847",""
"287","Pfizer Limited","PFIZER","4,839.9","-0.97%","7,683",""
"288","Bharat Heavy Electricals Limited","BHEL","245.64","-1%","1,38,53,601",""
"289","JSW Infrastructure Ltd","JSWINFRA","238.62","-1.09%","36,50,192",""
"290","Hyundai Motor India Ltd","HYUNDAI","1,691.4","-1.17%","27,69,348",""
"291","Karur Vysya Bank Limited","KARURVYSYA","269.45","-1.17%","58,98,403",""
"292","3m India Limited","3MINDIA","29,385","-1.18%","6,077",""
"293","Sun Tv Network Limited","SUNTV","588.25","-1.19%","2,22,407",""
"294","Hitachi Energy India Ltd","POWERINDIA","25,015","-1.22%","1,30,996",""
"295","Nlc India Limited","NLCINDIA","275","-1.29%","19,79,828",""
"296","Swiggy Ltd","SWIGGY","271.8","-1.29%","2,01,26,703",""
"297","Mahindra & Mahindra Financial Services Limited","M&MFIN","281.25","-1.37%","62,71,999",""
"298","Max Healthcare Institute Ltd","MAXHEALTH","931.6","-1.38%","46,05,503",""
"299","Marico Limited","MARICO","750.55","-1.42%","24,50,748",""
"300","Abbott India Limited","ABBOTINDIA","25,895","-1.48%","8,267",""
"301","Sai Life Sciences Ltd","SAILIFE","944.65","-1.59%","5,10,586",""
"302","ZF Commercial Vehicle Control System India Ltd","ZFCVINDIA","13,744","-1.65%","21,548",""
"303","Oil India Limited","OIL","472.2","-1.66%","31,59,564",""
"304","Ajanta Pharma Limited","AJANTPHARM","2,742.3","-1.75%","87,129",""
"305","Mangalore Refinery And Petrochemicals Limited","MRPL","178.94","-1.76%","58,27,483",""
"306","Bayer Cropscience Limited","BAYERCROP","4,673.7","-1.81%","9,033",""
"307","Oil & Natural Gas Corporation Limited","ONGC","281.85","-1.86%","2,44,49,779",""
"308","Astral Ltd","ASTRAL","1,522.8","-1.98%","10,78,191",""
"309","AWL Agri Business Ltd","AWL","179.88","-2.08%","29,48,455",""
"310","Ipca Laboratories Limited","IPCALAB","1,456","-2.17%","2,34,598",""
"311","Linde India Limited","LINDEINDIA","7,133","-2.24%","54,886",""
"312","Endurance Technologies Limited","ENDURANCE","2,201.2","-2.25%","1,46,049",""
"313","Star Health & Allied Insurance Company Ltd","STARHEALTH","458.55","-2.42%","5,57,504",""
"314","GE Vernova T&D India Ltd","GVT&D","3,723.1","-2.59%","6,39,297",""
"315","Reliance Industries Limited","RELIANCE","1,304.7","-3.39%","2,92,74,881",""
